                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4664,                 3.4553,                 1.7812,                 0.0156,                      1,                0.55182,                 0.3092,                0.76512,                 3.8182,                 1.4743,             0.00020006,             0.00020006,             0.00020006
                      2,                 1.1728,                 2.8177,                 1.6183,                0.04521,                      1,                0.87607,                 0.4047,                0.90214,                 3.5815,                 1.5366,             0.00041031,             0.00041031,             0.00041031
                      3,                 1.1454,                  2.246,                 1.5385,                0.71934,                0.45348,                0.78327,                0.48233,                 1.0245,                  3.162,                 1.5086,             0.00061631,             0.00061631,             0.00061631
                      4,                 1.2353,                 2.1757,                 1.5455,                0.76506,                0.23529,                0.62593,                0.39766,                 1.2765,                 3.3494,                 1.6998,             0.00081807,             0.00081807,             0.00081807
                      5,                 1.1443,                  2.005,                 1.5206,                0.81495,                0.70588,                0.85584,                0.54948,                0.91983,                 2.4266,                 1.5001,              0.0010156,              0.0010156,              0.0010156
                      6,                 1.1931,                 1.9199,                 1.5076,                0.80213,                0.94118,                0.92903,                0.54268,                 1.0184,                   2.47,                 1.6747,              0.0012089,              0.0012089,              0.0012089
                      7,                 1.3133,                 2.0571,                 1.6426,                0.87827,                0.94118,                0.90933,                0.53241,                 1.0962,                 2.3534,                 1.7236,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.3039,                 2.0602,                 1.6115,                0.71512,                0.94118,                0.81468,                0.30421,                 1.5869,                 3.7299,                 2.1835,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.2933,                 2.2276,                 1.5714,                0.87313,                0.82353,                0.91917,                 0.4995,                 1.3807,                 3.1031,                 2.0243,                0.00133,                0.00133,                0.00133
                     10,                 1.2488,                 1.9644,                 1.5221,                0.67175,                0.84325,                0.79296,                0.45994,                 1.1855,                 3.8654,                   1.85,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.4103,                 2.0903,                 1.7444,                0.67175,                0.84325,                0.79296,                0.45994,                 1.1855,                 3.8654,                   1.85,              0.0013017,              0.0013017,              0.0013017
